county,Disease_Condition,Species_Affected,Nature_of_Diagnosis,Production_System,Start_Outbreak_Event,Report_Date,Total_Number_Sick,Total_Vaccinated,Total_Number_Risk
Baringo,Anaplasmosis,Cattle,Clinical,Intensive,2024-01-05,2024-01-01,1,0,23
Baringo,Anaplasmosis,Cattle,Clinical,Mixed,2024-01-10,2024-01-23,1,0,2
Baringo,Anaplasmosis,Cattle,Clinical,Mixed,2024-01-03,2024-01-23,2,0,3
Baringo,Animal bites,Cattle,Clinical,Extensive,2024-12-12,2024-12-12,1,0,18
Baringo,Animal bites,Cattle,Clinical,Extensive,2024-12-19,2024-12-19,1,0,3
Baringo,Bees Sting,Cattle,Clinical,Mixed,2023-01-11,2024-01-01,1,0,3
Baringo,Black Quarter,Cattle,Clinical,Mixed,2024-01-02,2024-01-01,2,0,6
Baringo,Blue  Tongue,Sheep,Clinical,Extensive,2023-10-16,2023-10-16,9,0,42
Baringo,Blue Tongue,Sheep,Clinical,Extensive,2023-12-28,2023-12-28,83,113,312
Baringo,Blue Tongue,Sheep,Clinical,Extensive,2024-05-27,2024-05-27,185,0,2885
Baringo,Bluetongue,Sheep,Clinical,Mixed,2024-09-19,2024-09-19,3,0,31
Baringo,Calf Scours,Cattle,Clinical,Intensive,2024-01-15,2024-01-01,2,0,6
Baringo,Coccidosis,Cattle,Clinical,Mixed,2024-01-08,2024-01-23,1,0,2
Baringo,Coccidosis,Chicken,Clinical,Mixed,2024-05-23,2024-05-23,4,0,32
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Extensive,2024-11-27,2024-11-27,29,0,115
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Extensive,2023-11-30,2023-11-30,5,0,26
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Extensive,2024-12-10,2024-12-10,2,0,30
Baringo,Contagious Caprine Pleuropneumonia (CCPP),Goats,Clinical,Extensive,2024-12-19,2024-12-19,3,0,11
