"County","Disease_Condition","Total_Number_Sick"
"Baringo","Anaplasmosis",4
"Baringo","Animal bites",2
"Baringo","Bees Sting",1
"Baringo","Black Quarter",2
"Baringo","Blue  Tongue",9
"Baringo","Blue Tongue ",268
"Baringo","Bluetongue ",3
"Baringo","Calf Scours ",2
"Baringo","Coccidosis",5
"Baringo","Contagious Caprine Pleuropneumonia (CCPP)",230
"Baringo","Damerthophylosis",1
"Baringo","East Coast Fever(ECF)",4
"Baringo","Enterotoxaemia",16
"Baringo","Foot and Mouth Disease (FMD)",338
"Baringo","Goat Pox",602
"Baringo","Heart Water",8
"Baringo","Helminthiasis",49
"Baringo","Johnes Disease",1
"Baringo","Lumpy Skin Disease (LSD)",57
"Baringo","Newcastle Disease (NCD)",30
"Baringo","Non",7
"Baringo","Peste des Petit Ruminants (PPR)",385
"Baringo","Pneumonia",63
"Baringo","Poisoning",1
"Baringo","Rabies",3
"Baringo","Sheep Pox",133
"Baringo","blue tongue",3
"Bomet","Abscess",1
"Bomet","Abscesses",1
"Bomet","Anaplasmosis",1
"Bomet","Animal bites",0
"Bomet","Anthrax",7
"Bomet","Black Quarter",2
"Bomet","Brucellosis",2
"Bomet","Coccidosis",4
"Bomet","East Coast Fever(ECF)",4
"Bomet","Fasciola",0
"Bomet","Fatty Degeneration",1
"Bomet","Fibrosis",1
"Bomet","Foot and Mouth Disease (FMD)",87
"Bomet","Helminthiasis",53
"Bomet","Hydited Cyst",0
"Bomet","Liver Cyrrhosis",1
"Bomet","Liver cyrrhosis",1
"Bomet","Lumpy Skin Disease (LSD)",11
"Bomet","Mange",4
"Bomet","Mastitis",1
"Bomet","Peste des Petit Ruminants (PPR)",7
"Bomet","Pneumonia",13
"Bomet","Poisoning",41
"Bomet","Rabies",8
"Bomet","Streptothricosis",1
"Bomet","Telangiectasis",1
"Bomet","Trypanosomiasis",0
"Bomet","ephemeral fever ",1
"Bungoma"," 0",3
"Bungoma"," Myasis",3
"Bungoma","00",1
"Bungoma","Acute Camel Disease Syndromes (ACDS)",4
"Bungoma","Anaplasmosis",24
"Bungoma","Animal bites",36
"Bungoma","Anthrax",1
"Bungoma","Black Quarter",4
"Bungoma","Brucellosis",9
"Bungoma","Coccidosis",22
"Bungoma","Coeneurosis",2
"Bungoma","Colic",1
"Bungoma","Dystocia",2
"Bungoma","East Coast Fever ",1
"Bungoma","East Coast Fever(ECF)",18
"Bungoma","Ehrlichiosis",3
"Bungoma","Enterotoxaemia",3
"Bungoma","Food Poison ",2
"Bungoma","Foot and Mouth Disease (FMD)",218
"Bungoma","Heart Water",4
"Bungoma","Helminthiasis",166
"Bungoma","Hyenas Bite ",3
"Bungoma","Infectious Bronchitis",6
"Bungoma","Infectious Bursai Disease (Gumboro)",1
"Bungoma","Ketosis",1
"Bungoma","Laminitis",1
"Bungoma","Lumpy Skin Disease (LSD)",16
"Bungoma","Mange",7
"Bungoma","Mastitis ",1
"Bungoma","Newcastle Disease (NCD)",2
"Bungoma","Orf",1
"Bungoma","Orf ",4
"Bungoma","Pneumonia",114
"Bungoma","Post Parturient Condition ",0
"Bungoma","Rabies",4
"Bungoma","Swine dysentery ",1
"Bungoma","Tetanus",1
"Bungoma","Trypanosomiasis",8
"Busia","Abdominal Hernia",1
"Busia","Abscess ",1
"Busia","African Swine Fever (ASF)",20
"Busia","Anaestrus ",1
"Busia","Anaplasmosis",49
"Busia","Animal bites",19
"Busia","Anthrax",0
"Busia","Atrophic rhinitis",1
"Busia","Babesiosis",2
"Busia","Black Quarter",8
"Busia","Bottle Jow",1
"Busia","Bovine Filariasis ",1
"Busia","Bovine Salmonellosis",1
"Busia","Brucellosis",22
"Busia","Calf Scours ",1
"Busia","Canine Distemper (CD)",5
"Busia","Cervical Prolapse In An Incalf Cow",1
"Busia","Clinical Mastitis",1
"Busia","Coccidosis",68
"Busia","Coeneurosis",1
"Busia","Cutaneous Myiasis",2
"Busia","Cutaneous Wounds(Fungal)",1
"Busia","Dermatophilosis",1
"Busia","Dermatophilosis ",1
"Busia","Dermatophytosis ",1
"Busia","Dietary Diarrhea ",1
"Busia","Dislocation ",1
"Busia","Downer Cow Syndrome",1
"Busia","Dystocia",1
"Busia","Dystocia ",2
"Busia","East Coast Fever(ECF)",50
"Busia","Enterotoxaemia",28
"Busia","Food Poisoming",11
"Busia","Foot Rot",2
"Busia","Foot and Mouth Disease (FMD)",12
"Busia","Fowl Pox",69
"Busia","Fowl Typhoid ",2
"Busia","Fowl Typoid",14
"Busia","Heart Water",10
"Busia","Helminthiasis",331
"Busia","Injury ",3
"Busia","Keratoconjutivitis",9
"Busia","Ketosis",2
"Busia","Ketosis/Enterotoxaemia",1
"Busia","Lameness ",3
"Busia","Leptospirosis ",1
"Busia","Lumpy Skin Disease (LSD)",203
"Busia","Mange",14
"Busia","Mastitis",2
