name,county,latitude,longitude,ownership
,Baringo,-0.0467261,36.182539,GOK
,Baringo,0.7186966,35.6968277,GOK
,Baringo,0.5936017,35.8516819,GOK
,Marsabit,,,GOK
,Busia,,,GOK
,Baringo,0.4705789,35.8574745,GOK
,Baringo,0.6534388,35.5153287,GOK
,Marsabit,,,GOK
,Baringo,0.6493176,35.5160131,GOK
,Makueni,0.0,0.0,GOK
,Baringo,0.6126134,35.8213488,GOK
,Baringo,-0.0164312,35.8012339,GOK
,Baringo,0.0,37.0,GOK
,Baringo,37.0,0.0,GOK
,Kiambu,-1.1105329,36.8039968,GOK
,Baringo,0.380892,36.0371753,GOK
,Marsabit,3.489035,38.241501,GOK
,Baringo,0.3550644,36.0541711,GOK
,Marsabit,3.489035,38.241501,GOK
,Baringo,0.6694589,35.5108801,GOK
,Baringo,,,GOK
,Marsabit,3.489035,38.241501,GOK
,Marsabit,3.5824292,38.6338111,GOK
,Laikipia,0.2686629,36.5417099,GOK
,Marsabit,3.463657,38.914442,GOK
,Marsabit,3.489035,38.241501,GOK
,Marsabit,3.489035,38.241501,GOK
,Baringo,0.0,39.0,GOK
,Baringo,0.0221023,35.8189626,GOK
,Taita Taveta,-3.4064603,38.3631608,GOK
,Bomet,-0.9302675,35.4188756,GOK
,Bomet,-0.930267,35.4188796,GOK
,Marsabit,3.51128,38.975645,GOK
,Bomet,-0.8650791,35.3937603,GOK
,Bomet,-0.930267,35.4188796,GOK
,Bomet,-0.8650791,35.3937603,GOK
,Bomet,-0.8612836,35.392516,GOK
,Bomet,-0.8615228,35.3913109,GOK
,Marsabit,3.005768,38.758298,GOK
,Bomet,-0.78865,35.1071066,GOK
,Marsabit,3.489035,38.241501,GOK
,Bomet,-0.9303036,35.4188332,GOK
,Marsabit,3.463657,38.914442,GOK
,Bomet,-0.8655634,35.394103,GOK
,Bomet,-0.9300072,35.4187737,GOK
,Marsabit,3.463657,38.914442,GOK
,Vihiga,0.1216457,34.6598998,GOK
,Elgeyo/Marakwet,0.6789886,35.5012977,GOK
,Bomet,-0.8682441,35.3944457,GOK
,Marsabit,3.4912273,38.2439088,GOK
,Bomet,-0.7491463,35.0751186,GOK
,Marsabit,3.4724218,39.0985804,GOK
,Bomet,-0.863881,35.3917041,GOK
,Marsabit,3.5639479,38.6449551,GOK
,Marsabit,3.5639479,38.6449551,GOK
,Bomet,-0.863881,35.3917041,GOK
,Bomet,-0.9302667,35.4188316,GOK
,Bomet,-0.9302701,35.418832,GOK
,Bomet,-0.8614388,35.3912947,GOK
,Bomet,-0.8619257,35.3930027,GOK
,Bomet,-0.8619257,35.3930027,GOK
,Bomet,-0.8656941,35.3942673,GOK
,Marsabit,3.530693,39041189,GOK
,Marsabit,3.4670918,38.9000835,GOK
,Marsabit,3.5203554,39.04644898,GOK
,Bomet,-0.9377961,35.4225551,GOK
,Bomet,-0.9303007,35.418832,GOK
,Bomet,-0.863881,35.3917041,GOK
,Bomet,-0.863881,35.3917041,GOK
,Marsabit,3.5282856,39.048444,GOK
,Marsabit,3.46282759,39.24023571,GOK
,Bomet,-0.9302969,35.4188332,GOK
,Bomet,-0.7305225,35.3004925,GOK
,Bomet,-0.8276297,35.2400864,GOK
,Marsabit,3.45418446,38.92760751,GOK
,Marsabit,3.5203554,39.04644898,GOK
,Marsabit,3.51128,38.975645,GOK
,Marsabit,3.46282759,39.24023541,GOK
,Bomet,-0.9318881,35.4185341,GOK
,Marsabit,3.446285,39171518,GOK
,Bomet,,,GOK
