county,Disease/ Condition,Number at Risk
Baringo,Anaplasmosis,2
Baringo,Foot and Mouth Disease (FMD),5
Baringo,Anaplasmosis,3
Marsabit,Wound,10
Busia,Pneumonia,1
Baringo,Helminthiasis,6
Baringo,Coccidosis,2
Marsabit,Fracture ,7
Baringo,Helminthiasis,0
Makueni,Pneumonia,4
Baringo,Bees Sting,3
Baringo,Foot and Mouth Disease (FMD),6
Baringo,Helminthiasis,0
Baringo,Black Quarter,6
Kiambu,Lumpy Skin Disease (LSD),3
Baringo,Calf Scours ,6
Marsabit,Helminthiasis,21
Baringo,Helminthiasis,2
Marsabit,Tetanus,5
Baringo,Anaplasmosis,23
Baringo,Helminthiasis,5
Marsabit,Helminthiasis,10
Marsabit,Ephemeral fever,12
Laikipia,Contagious Caprine Pleuropneumonia (CCPP),50
Marsabit,Brucellosis,28
Marsabit,Helminthiasis,15
Marsabit,Trypanosomiasis,15
Baringo,East Coast Fever(ECF),5
Baringo,Helminthiasis,0
Taita Taveta,Foot Rot,2
Bomet,Helminthiasis,0
Bomet,ephemeral fever ,43
Marsabit,Coccidosis,4
Bomet,Black Quarter,15
Bomet,Helminthiasis,5
Bomet,Poisoning,1
Bomet,Anaplasmosis,3
Bomet,Lumpy Skin Disease (LSD),1
Marsabit,Poisoning,85
Bomet,East Coast Fever(ECF),3
Marsabit,Trypanosomiasis,48
Bomet,Pneumonia,3
Marsabit,Caseous Lymphad,28
Bomet,East Coast Fever(ECF),3
Bomet,East Coast Fever(ECF),4
Marsabit,orf,35
Vihiga,Lumpy Skin Disease (LSD),1
Elgeyo/Marakwet,East Coast Fever(ECF),5
Bomet,Mastitis,12
Marsabit,Goat Pox,84
Bomet,Helminthiasis,0
Marsabit,Brucellosis,35
Bomet,Peste des Petit Ruminants (PPR),40
Marsabit,Caseous Lymphad,14
Marsabit,Brucellosis,12
Bomet,Animal bites,2
Bomet,Trypanosomiasis,32
Bomet,Poisoning,200
Bomet,Pneumonia,3
Bomet,Liver Cyrrhosis,0
Bomet,Hydited Cyst,0
Bomet,Brucellosis,8
Marsabit,Helminthiasis,0
Marsabit,mastitis ,3
Marsabit,Helminthiasis,0
Bomet,Pneumonia,1
Bomet,Rabies,3
Bomet,Mange,1
Bomet,East Coast Fever(ECF),34
Marsabit,Helminthiasis,0
Marsabit,Brucellosis,67
Bomet,Fasciola,0
Bomet,Helminthiasis,0
Bomet,Helminthiasis,1
Marsabit,Meningitis,25
Marsabit,Helminthiasis,0
Marsabit,Animal bites,1
Marsabit,Brucellosis,34
Bomet,Coccidosis,90
Marsabit,Brucellosis,24
Bomet,Lumpy Skin Disease (LSD),15
Bomet,Helminthiasis,0
Bungoma,East Coast Fever(ECF),3
Elgeyo/Marakwet,Peste des Petit Ruminants (PPR),35
Bungoma,Helminthiasis,6
Makueni,Contagious Caprine Pleuropneumonia (CCPP),15
Bungoma,East Coast Fever(ECF),3
Bungoma,Trypanosomiasis,1
Bungoma,Helminthiasis,5
Bungoma,Ketosis,2
Bungoma,East Coast Fever(ECF),4
Marsabit,Brucellosis,45
Bungoma,Pneumonia,2
Bungoma,Anaplasmosis,6
Bungoma,Heart Water,0
Bungoma,Post Parturient Condition ,1
Bungoma,Helminthiasis,6
Bungoma,Brucellosis,2
Bungoma,Animal bites,42
Bungoma,Pneumonia,3
Bungoma,Animal bites,53
Bungoma,Rabies,100
Marsabit,Meningitis ,25
Bungoma,Dystocia,1
Bungoma,East Coast Fever(ECF),3
Marsabit,Black Quarter,217
Bungoma,Brucellosis,20
Bungoma,Colic,1
Bungoma,Trypanosomiasis,3
Bungoma,Mange,14
Bungoma,Coeneurosis,5
Bungoma,Foot and Mouth Disease (FMD),5
Bungoma,Laminitis,6
Bungoma,Brucellosis,44
Bungoma,Brucellosis,1
Bungoma,Animal bites,21
Bungoma,Lumpy Skin Disease (LSD),0
Bungoma,Helminthiasis,6
Bungoma,Acute Camel Disease Syndromes (ACDS),52
Bungoma,Trypanosomiasis,0
Bungoma,Anaplasmosis,1
Busia,Helminthiasis,0
Busia,Helminthiasis,3
Busia,Brucellosis,1
Narok,footrot,74
Busia,Pneumonia,28
Busia,Helminthiasis,0
Busia,Foot Rot,5
Busia,Black Quarter,2
Busia,Pneumonia,19
Busia,Helminthiasis,3
Busia,Helminthiasis,2
Busia,Anthrax,4
Busia,Rabies,2
Busia,Black Quarter,2
Busia,East Coast Fever(ECF),5
Marsabit,Footrot,16
Busia,Mange,5
Busia,Rabies,7
Busia,Red Urine ,5
Marsabit,Brucellosis,27
Marsabit,Abcess,25
Marsabit,Helminthiasis,5
Busia,Pneumonia,1
Marsabit,Brucellosis,43
Busia,East Coast Fever(ECF),0
Busia,Mange,3
Busia,0,5
Marsabit,Brucellosis,20
Marsabit,Wound,13
Marsabit,Footrot,42
Busia,Anaplasmosis,1
Busia,Brucellosis,28
Busia,Animal bites,33
Busia,Abscess ,1
Marsabit,Animal bites,58
Busia,Helminthiasis,4
Busia,0,9
Busia,Newcastle Disease (NCD),54
Busia,East Coast Fever(ECF),67
Marsabit,Brucellosis,79
Marsabit,Brucellosis,72
Busia,Pneumonia,18
Busia,Rift Valley Fever (RVF),25
Busia,Anthrax,4
Marsabit,Helminthiasis,34
Busia,Lumpy Skin Disease (LSD),2
Busia,Enterotoxaemia,0
Busia,Anaplasmosis,2
Busia,East Coast Fever(ECF),2
Taita Taveta,Orf Disease ,48
Busia,Helminthiasis,4
Busia,East Coast Fever(ECF),3
Busia,ephemeral fever ,201
Busia,Fowl Typhoid ,15
Busia,Brucellosis,24
Busia,Pneumonia,62
Busia,Pneumonia,62
Busia,Helminthiasis,18
Busia,Brucellosis,3
Busia,Coeneurosis,6
Busia,Lumpy Skin Disease (LSD),2
Busia,Trypanosomiasis,12
Busia,Animal bites,33
Busia,Coccidosis,6
Busia,Fowl Typoid,33
Busia,Brucellosis,16
Busia,Brucellosis,42
Busia,East Coast Fever(ECF),300
Busia,Helminthiasis,17
Busia,Brucellosis,120
Busia,Trypanosomiasis,3
Busia,Helminthiasis,0
Busia,Trauma ,0
Busia,Trypanosomiasis,36
Busia,Trypanosomiasis,13
Busia,Black Quarter,8
Busia,Anaplasmosis,2
Busia,East Coast Fever(ECF),0
Busia,Helminthiasis,4
Busia,Anaplasmosis,1
Busia,Brucellosis,35
Busia,East Coast Fever(ECF),1
Busia,Warble ,1
Busia,Calf Scours ,8
Busia,Leptospirosis ,30
Busia,Brucellosis,6
Busia,Trypanosomiasis,2
Busia,Bottle Jow,50
Busia,Helminthiasis,2
Busia,Anaplasmosis,20
Marsabit,Brucellosis,65
Elgeyo/Marakwet,Heart Water,6
Elgeyo/Marakwet,Helminthiasis,1
Elgeyo/Marakwet,Helminthiasis,0
Elgeyo/Marakwet,Pneumonia,8
Elgeyo/Marakwet,Heart Water,8
Elgeyo/Marakwet,Pneumonia,6
Elgeyo/Marakwet,Johnes Disease,2
Elgeyo/Marakwet,East Coast Fever(ECF),3
Elgeyo/Marakwet,East Coast Fever(ECF),2
Elgeyo/Marakwet,Diarrhoea,40
Elgeyo/Marakwet,Bloat,21
Elgeyo/Marakwet,Distocia,2
Elgeyo/Marakwet,Anaplasmosis,3
Elgeyo/Marakwet,Foetal Mumification,1
Elgeyo/Marakwet,Babesia Bovis,12
Elgeyo/Marakwet,Haemorrhagic septicemia,200
Elgeyo/Marakwet,Animal bites,24
Elgeyo/Marakwet,Helminthiasis,1
Elgeyo/Marakwet,Foot and Mouth Disease (FMD),8
Elgeyo/Marakwet,Absess,3
Elgeyo/Marakwet,East Coast Fever(ECF),1
Elgeyo/Marakwet,Anaplasmosis,11
Elgeyo/Marakwet,Fowl Pox,90
Elgeyo/Marakwet,Cirrhosis,0
Elgeyo/Marakwet,East Coast Fever(ECF),9
Elgeyo/Marakwet,Brucellosis,1
Elgeyo/Marakwet,Plant Poison,1
Elgeyo/Marakwet,Heart Water,5
Elgeyo/Marakwet,Helminthiasis,2
Elgeyo/Marakwet,Animal Bite,5
Elgeyo/Marakwet,East Coast Fever(ECF),3
Elgeyo/Marakwet,Anaplasmosis,30
Elgeyo/Marakwet,TVT,4
Garissa,Contagious Caprine Pleuropneumonia (CCPP),6
Garissa,Lumpy Skin Disease (LSD),6
Garissa,East Coast Fever(ECF),63
Garissa,Helminthiasis,0
Garissa,Iron Defficiency,9
Garissa,Infectious Bursai Disease (Gumboro),431
Garissa,Pneumonia,2
Garissa,Contagious Caprine Pleuropneumonia (CCPP),80
Garissa,East Coast Fever(ECF),3
Garissa,Arthritis ,19
Marsabit,Poisoning,56
Garissa,East Coast Fever(ECF),2
Kajiado,Rabies,3
Kajiado,Lumpy Skin Disease (LSD),19
Kajiado,Helminthiasis,0
Kajiado,Brucellosis,12
Kakamega,Myocarditis ,0
Marsabit,Camel Pox,52
Turkana,Mange,28
Kakamega,Helminthiasis,0
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),21
Kakamega,Brucellosis,11
Kakamega,Goat Pox,1285
Kakamega,Black Quarter,2
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),23
Kakamega,Helminthiasis,21
Kakamega,Anthrax,5
Makueni,Contagious Caprine Pleuropneumonia (CCPP),0
Kakamega,East Coast Fever(ECF),0
Kakamega,Helminthiasis,0
Kakamega,Pink Eye ,20
Kakamega,Anaplasmosis,12
Kakamega,Black Quarter,3
Kakamega,Brucellosis,5
Kakamega,Trypanosomiasis,52
Kakamega,Lumpy Skin Disease (LSD),1
Kakamega,Trypanosomiasis,42
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),76
Kakamega,Pneumonia,1
Kakamega,Brucellosis,5
Kakamega,East Coast Fever(ECF),5
Kakamega,Helminthiasis,2
Kakamega,Trypanosomiasis,40
Kakamega,Brucellosis,62
Elgeyo/Marakwet,Brucellosis,10
Kakamega,Rabies,5
Kakamega,Rabies,2000
Kakamega,Contagious Caprine Pleuropneumonia (CCPP),43
Kakamega,East Coast Fever(ECF),5
Kakamega,East Coast Fever(ECF),0
Kakamega,Brucellosis,6
Kakamega,Foot And Rot,2
Kakamega,injury ,60
Kakamega,Haemorrhagic septicemia,16
Kakamega,Brucellosis,13
Kakamega,H.S,67
Kakamega,East Coast Fever(ECF),2
Kakamega,Dytocia,15
Kakamega,East Coast Fever(ECF),2
Kakamega,East Coast Fever(ECF),2
Kakamega,Injury,4
Kakamega,East Coast Fever(ECF),0
Kakamega,Milk Fever,1
Kakamega,Black Quarter,1
Kakamega,Rabies,9
Kakamega,Pneumonia,8
Baringo,Foot and Mouth Disease (FMD),19
Kakamega,Brucellosis,40
Kakamega,Parasite Infestation ,2
Kakamega,Pneumonia,17
Kakamega,Anaplasmosis,2
Kakamega,Brucellosis,5
Kakamega,Brucellosis,55
Kakamega,Abscess ,25
Kakamega,Rabies,50
Kakamega,Trypanosomiasis,73
Marsabit,caseous Lymphad,11
Kakamega,East Coast Fever(ECF),7
Kakamega,Trypanosomiasis,62
Marsabit,Trypanosomiasis,15
Kakamega,Trypanosomiasis,23
Marsabit,orf,19
Marsabit,Haemorrhagic septicemia,15
Kakamega,Pneumonia,40
Marsabit,Heart Water,19
Marsabit,Pneumonia,19
Marsabit,Haemorrhagic Septicemia ,19
Marsabit,Animal bites,19
Kakamega,Pneumonia,14
Marsabit,Brucellosis,19
Marsabit,Brucellosis,10
Kakamega,Animal bites,12
Kakamega,Brucellosis,11
Kakamega,Trypanosomiasis,1
Marsabit,Brucellosis,14
Kakamega,Helminthiasis,19
Kakamega,Pneumonia,12
Kakamega,Rabies,2
Kakamega,0,5
Kakamega,Rabies,2
Kakamega,Trypanosomiasis,2
Kakamega,Clinical Mastits,5
Kakamega,Caseous Lymphad ,14
Kakamega,Helminthiasis,1
