county,Sub_County,Ward,Latitude,Longitude,Locality,Start_Outbreak_Event,Report_Date,Disease_Condition,Nature_of_Diagnosis,Test_Used,Species_Affected,Number_at_Risk,Number_Sick,Number_Dead,Number_Slaughtered,Number_Destroyed,Production_System,Number_Humans_Affected_zoonosis,Disease_Control_Method,Number_Vaccinated,Organisation_GOK_Private,Source
Baringo,Mogotio,Kisanana,-0.0467261,36.182539,Crush,1/10/2024,1/23/2024,Anaplasmosis,Clinical,,Cattle,2,1,0,0,0,Mixed,0,"[Treatment, Vector Control]",0,GOK,KABS
Baringo,Baringo North,Barwessa,0.7186966,35.6968277,Village/Farm,1/11/2024,1/23/2024,Foot and Mouth Disease (FMD),Clinical,,Cattle,5,3,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Baringo,Baringo North,Saimo/Kipsaraman,0.5936017,35.8516819,Crush,1/3/2024,1/23/2024,Anaplasmosis,Clinical,,Cattle,3,2,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Maikona,,,Village/Farm,2/12/2024,2/12/2024,Wound,Clinical,,Camel,10,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Busia,Nambale,Nambale Township,,,Village/Farm,2/11/2024,2/11/2024,Pneumonia,Clinical,,Cattle,1,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Baringo,Baringo North,Saimo/Soi,0.4705789,35.8574745,Village/Farm,1/15/2024,1/4/2024,Helminthiasis,Clinical,,Goats,6,2,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Baringo,Baringo Central,Kabarnet,0.6534388,35.5153287,Crush,1/8/2024,1/23/2024,Coccidosis,Clinical,,Cattle,2,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,North Horr,Turbi,,,Village/Farm,2/18/2024,2/18/2024,Fracture ,Clinical,,Goats,7,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Baringo,Baringo Central,Kabarnet,0.6493176,35.5160131,Crush,1/8/2024,1/1/2024,Helminthiasis,Post Mortem,,Cattle,0,1,0,6,0,,0,Slaughter,0,GOK,KABS
Makueni,Kibwezi East,Thange,0,0,Village/Farm,2/15/2024,2/15/2024,Pneumonia,Clinical,,Goats,4,1,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Baringo,Baringo North,Saimo/Soi,0.6126134,35.8213488,Crush,1/11/2023,1/1/2024,Bees Sting,Clinical,,Cattle,3,1,0,0,0,Mixed,,"[Treatment, Vector Control]",0,GOK,KABS
Baringo,Eldama Ravine,Koibatek,-0.0164312,35.8012339,Village/Farm,1/13/2024,1/1/2024,Foot and Mouth Disease (FMD),Clinical,,Cattle,6,3,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Baringo,Tiaty,Loiyamorock,0,37,Village/Farm,1/29/2024,1/1/2024,Helminthiasis,Post Mortem,,Goats,0,2,0,12,0,,0,Slaughter,0,GOK,KABS
Baringo,Tiaty,Loiyamorock,37,0,Village/Farm,1/2/2024,1/1/2024,Black Quarter,Clinical,,Cattle,6,2,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Kiambu,Githunguri,Ikinu,-1.1105329,36.8039968,Village/Farm,11/27/2023,11/27/2023,Lumpy Skin Disease (LSD),Clinical,,Cattle,3,1,0,0,0,Intensive,0,[Vaccination],3,GOK,KABS
Baringo,Baringo South,Ilchamus,0.380892,36.0371753,Crush,1/15/2024,1/1/2024,Calf Scours ,Clinical,,Cattle,6,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,12/22/2023,12/22/2023,Helminthiasis,Clinical,,Goats,21,21,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Baringo,Baringo South,Mochongoi,0.3550644,36.0541711,Crush,1/22/2023,1/1/2024,Helminthiasis,Clinical,,Cattle,2,2,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,12/21/2023,12/21/2023,Tetanus,Clinical,,Donkey,5,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Baringo,Baringo North,Barwessa,0.6694589,35.5108801,Village/Farm,1/5/2024,1/1/2024,Anaplasmosis,Clinical,,Cattle,23,1,0,0,0,Intensive,,[Treatment],0,GOK,KABS
Baringo,Eldama Ravine,Koibatek,,,Village/Farm,1/19/2024,1/1/2024,Helminthiasis,Clinical,,Cattle,5,5,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,12/20/2023,12/20/2023,Helminthiasis,Clinical,,Cattle,10,8,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.5824292,38.6338111,Village/Farm,12/31/2023,12/31/2023,Ephemeral fever,Clinical,,Cattle,12,2,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Laikipia,Laikipia West,Rumuruti Township,0.2686629,36.5417099,Abattoir,12/20/2023,12/20/2023,Contagious Caprine Pleuropneumonia (CCPP),Post Mortem,,Goats,50,5,5,1,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.463657,38.914442,Village/Farm,12/8/2023,12/8/2023,Brucellosis,Clinical,,Goats,28,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,12/24/2023,12/24/2023,Helminthiasis,Clinical,,Sheep,15,15,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,12/20/2023,12/20/2023,Trypanosomiasis,Clinical,,Camel,15,2,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Baringo,Tiaty,Loiyamorock,0,39,Village/Farm,1/14/2024,1/1/2024,East Coast Fever(ECF),Clinical,,Cattle,5,1,0,0,0,Extensive,,[Treatment],0,GOK,KABS
Baringo,Eldama Ravine,Koibatek,0.0221023,35.8189626,Village/Farm,1/6/2024,1/2/2024,Helminthiasis,Clinical,,Cattle,0,2,0,0,0,Mixed,,[Treatment],0,GOK,KABS
Taita Taveta,Wundanyi,Wundanyi/Mbale,-3.4064603,38.3631608,Village/Farm,12/30/2023,12/30/2023,Foot Rot,Clinical,,Cattle,2,1,0,0,0,Intensive,0,"[Treatment, Isolation]",0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9302675,35.4188756,Abattoir,1/1/2024,1/2/2024,Helminthiasis,Post Mortem,,Goats,0,1,0,4,0,,0,Slaughter,0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.930267,35.4188796,Abattoir,1/1/2024,1/1/2024,ephemeral fever ,Clinical,,Cattle,43,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.51128,38.975645,Village/Farm,12/2/2023,12/2/2023,Coccidosis,Clinical,,Chicken,4,3,4,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8650791,35.3937603,Abattoir,1/2/2024,1/1/2024,Black Quarter,Clinical,,Cattle,15,2,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.930267,35.4188796,Abattoir,1/3/2024,1/2/2024,Helminthiasis,Clinical,,Cattle,5,4,0,0,0,Mixed,0,[Vector Control],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8650791,35.3937603,Abattoir,1/3/2024,1/1/2024,Poisoning,Clinical,,Cattle,1,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8612836,35.392516,Abattoir,1/5/2024,1/2/2024,Anaplasmosis,Clinical,,Cattle,3,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8615228,35.3913109,Abattoir,1/8/2024,1/1/2024,Lumpy Skin Disease (LSD),Clinical,,Cattle,1,1,0,0,0,Intensive,,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Obbu,3.005768,38.758298,Village/Farm,12/30/2023,12/30/2023,Poisoning,Clinical,,Goats,85,0,3,0,0,Extensive,0,[No Action],0,GOK,KABS
Bomet,Sotik,Rongena/Manaret,-0.78865,35.1071066,Village/Farm,1/8/2024,1/2/2024,East Coast Fever(ECF),Clinical,,Cattle,3,1,0,0,0,Extensive,0,"[Treatment, Vector Control]",0,GOK,KABS
Marsabit,Moyale,Uran,3.489035,38.241501,Village/Farm,12/28/2023,12/28/2023,Trypanosomiasis,Clinical,,Camel,48,6,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9303036,35.4188332,Abattoir,1/9/2024,1/2/2024,Pneumonia,Clinical,,Goats,3,1,1,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.463657,38.914442,Village/Farm,12/15/2023,12/15/2023,Caseous Lymphad,Clinical,,Goats,28,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8655634,35.394103,Abattoir,1/9/2024,1/1/2024,East Coast Fever(ECF),Clinical,,Cattle,3,1,0,0,0,Mixed,,[Vector Control],0,GOK,KABS
Bomet,Bomet East,Kipreres,-0.9300072,35.4187737,Abattoir,1/10/2024,1/2/2024,East Coast Fever(ECF),Clinical,,Cattle,4,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Butiye,3.463657,38.914442,Village/Farm,12/22/2023,12/22/2023,orf,Clinical,,Goats,35,11,1,0,1,Intensive,0,[Treatment],0,GOK,KABS
Vihiga,Emuhaya,Central Bunyore,0.1216457,34.6598998,Village/Farm,11/30/2023,11/30/2023,Lumpy Skin Disease (LSD),Clinical,,Cattle,1,4,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Elgeyo/Marakwet,Keiyo North,Kamariny,0.6789886,35.5012977,Village/Farm,12/31/2023,12/31/2023,East Coast Fever(ECF),Clinical,,Cattle,5,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Bomet,Bomet East,Longisa,-0.8682441,35.3944457,Abattoir,1/10/2024,1/2/2024,Mastitis,Clinical,,Goats,12,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Uran,3.4912273,38.2439088,Village/Farm,12/28/2023,12/28/2023,Goat Pox,Clinical,,Goats,84,3,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Bomet,Sotik,Rongena/Manaret,-0.7491463,35.0751186,Village/Farm,1/11/2024,1/2/2024,Helminthiasis,Clinical,,Cattle,0,1,0,0,0,Intensive,0,[Treatment],0,GOK,KABS
Marsabit,Moyale,Golbo,3.4724218,39.0985804,Village/Farm,12/31/2023,12/31/2023,Brucellosis,Clinical,,Goats,35,1,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
