county,sub_county,Disease/ Condition,total
Baringo,Mogotio,Anaplasmosis,2
Baringo,Baringo North,Foot and Mouth Disease (FMD),24
Baringo,Baringo North,Anaplasmosis,26
Marsabit,North Horr,Wound,107
Busia,Nambale,Pneumonia,66
Baringo,Baringo North,Helminthiasis,10
Baringo,Baringo Central,Coccidosis,2
Marsabit,North Horr,Fracture,7
Baringo,Baringo Central,Helminthiasis,0
Makueni,Kibwezi East,Pneumonia,406
Baringo,Baringo North,Bees Sting,3
Baringo,Eldama Ravine,Foot and Mouth Disease (FMD),105
Baringo,Tiaty,Helminthiasis,0
Baringo,Tiaty,Black Quarter,6
Kiambu,Githunguri,Lumpy Skin Disease (LSD),3
Baringo,Baringo South,Calf Scours,6
Marsabit,Moyale,Helminthiasis,7077
Baringo,Baringo South,Helminthiasis,2
Marsabit,Moyale,Tetanus,144
Baringo,Eldama Ravine,Helminthiasis,118
Marsabit,Moyale,Ephemeral fever,12
Laikipia,Laikipia West,Contagious Caprine Pleuropneumonia (CCPP),50
Marsabit,Moyale,Brucellosis,15597
Marsabit,Moyale,Trypanosomiasis,1366
Baringo,Tiaty,East Coast Fever(ECF),5
Taita Taveta,Wundanyi,Foot Rot,19
Bomet,Bomet East,Helminthiasis,25
Bomet,Bomet East,ephemeral fever,43
Marsabit,Moyale,Coccidosis,717
Bomet,Bomet East,Black Quarter,15
Bomet,Bomet East,Poisoning,201
Bomet,Bomet East,Anaplasmosis,3
Bomet,Bomet East,Lumpy Skin Disease (LSD),1
Marsabit,Moyale,Poisoning,1578
Bomet,Sotik,East Coast Fever(ECF),3
Bomet,Bomet East,Pneumonia,7
Marsabit,Moyale,Caseous Lymphad,61
Bomet,Bomet East,East Coast Fever(ECF),41
Marsabit,Moyale,orf,522
Vihiga,Emuhaya,Lumpy Skin Disease (LSD),5
Elgeyo/Marakwet,Keiyo North,East Coast Fever(ECF),68
Bomet,Bomet East,Mastitis,12
Marsabit,Moyale,Goat Pox,1079
Bomet,Sotik,Helminthiasis,0
Bomet,Bomet East,Peste des Petit Ruminants (PPR),40
Bomet,Bomet East,Animal bites,2
Bomet,Bomet East,Trypanosomiasis,32
Bomet,Bomet East,Liver Cyrrhosis,0
Bomet,Bomet East,Hydited Cyst,0
Bomet,Bomet East,Brucellosis,8
Marsabit,Moyale,mastitis,3
Bomet,Bomet East,Rabies,19
Bomet,Bomet East,Mange,1
Bomet,Bomet East,Fasciola,0
Bomet,Bomet Central,Helminthiasis,1
Marsabit,Moyale,Meningitis,50
Marsabit,Moyale,Animal bites,2527
Bomet,Bomet East,Coccidosis,90
Bomet,Chepalungu,Lumpy Skin Disease (LSD),15
Bungoma,Mt. Elgon,East Coast Fever(ECF),27
Elgeyo/Marakwet,Keiyo South,Peste des Petit Ruminants (PPR),35
Bungoma,Mt. Elgon,Helminthiasis,211
Makueni,Kibwezi East,Contagious Caprine Pleuropneumonia (CCPP),337
Bungoma,Mt. Elgon,Trypanosomiasis,4
Bungoma,Mt. Elgon,Ketosis,2
Bungoma,Mt. Elgon,Pneumonia,194
Bungoma,Mt. Elgon,Anaplasmosis,34
Bungoma,Mt. Elgon,Heart Water,2
Bungoma,Mt. Elgon,Post Parturient Condition,1
Bungoma,Mt. Elgon,Brucellosis,78
Bungoma,Mt. Elgon,Animal bites,116
Bungoma,Bumula,Rabies,105
Bungoma,Bumula,Dystocia,1
Marsabit,Moyale,Black Quarter,242
Bungoma,Mt. Elgon,Colic,1
Bungoma,Mt. Elgon,Mange,22
Bungoma,Mt. Elgon,Coeneurosis,5
Bungoma,Mt. Elgon,Foot and Mouth Disease (FMD),516
Bungoma,Mt. Elgon,Laminitis,6
Bungoma,Mt. Elgon,Lumpy Skin Disease (LSD),4
Bungoma,Webuye West,Acute Camel Disease Syndromes (ACDS),52
Bungoma,Kimilili,Anaplasmosis,1
Busia,Butula,Helminthiasis,83
Busia,Nambale,Helminthiasis,89
Busia,Teso South,Brucellosis,235
Narok,Narok South,footrot,74
Busia,Matayos,Pneumonia,34
Busia,Teso South,Helminthiasis,233
Busia,Teso South,Foot Rot,8
Busia,Nambale,Black Quarter,2
Busia,Butula,Pneumonia,23
Busia,Nambale,Anthrax,4
Busia,Teso North,Rabies,3
Busia,Teso South,Black Quarter,26
Busia,Teso South,East Coast Fever(ECF),129
Marsabit,Moyale,Footrot,991
Busia,Teso South,Mange,17
Busia,Teso South,Rabies,22
Busia,Teso North,Red Urine,5
Marsabit,Moyale,Abcess,25
Busia,Nambale,Mange,3
Busia,Teso South,0,14
Marsabit,Moyale,Wound,81
Busia,Teso North,Anaplasmosis,1
Busia,Teso South,Animal bites,66
Busia,Teso South,Abscess,1
Busia,Teso South,Newcastle Disease (NCD),94
Busia,Teso South,Pneumonia,29
Busia,Teso South,Rift Valley Fever (RVF),25
Busia,Teso South,Anthrax,4
Busia,Teso South,Lumpy Skin Disease (LSD),816
Busia,Teso South,Enterotoxaemia,58
Busia,Teso South,Anaplasmosis,83
Busia,Matayos,East Coast Fever(ECF),54
Taita Taveta,Taveta,Orf Disease,48
Busia,Teso North,ephemeral fever,201
Busia,Teso South,Fowl Typhoid,15
Busia,Teso North,Brucellosis,24
Busia,Teso North,Pneumonia,62
Busia,Nambale,Brucellosis,28
Busia,Matayos,Coeneurosis,6
Busia,Matayos,Lumpy Skin Disease (LSD),34
Busia,Teso South,Trypanosomiasis,131
Busia,Nambale,Coccidosis,8
Busia,Butula,Fowl Typoid,33
Busia,Nambale,East Coast Fever(ECF),311
Busia,Nambale,Trypanosomiasis,31
Busia,Teso South,Trauma,0
Busia,Butula,Trypanosomiasis,179
Busia,Teso South,Warble,1
Busia,Teso South,Calf Scours,8
Busia,Teso South,Leptospirosis,30
Busia,Teso South,Bottle Jow,50
Elgeyo/Marakwet,Marakwet West,Heart Water,7
Elgeyo/Marakwet,Marakwet West,Helminthiasis,21
Elgeyo/Marakwet,Keiyo South,Pneumonia,14
Elgeyo/Marakwet,Marakwet East,Heart Water,8
Elgeyo/Marakwet,Marakwet West,Johnes Disease,2
Elgeyo/Marakwet,Marakwet West,East Coast Fever(ECF),59
Elgeyo/Marakwet,Marakwet East,East Coast Fever(ECF),137
Elgeyo/Marakwet,Marakwet East,Diarrhoea,40
Elgeyo/Marakwet,Marakwet East,Bloat,60
Elgeyo/Marakwet,Marakwet East,Distocia,2
Elgeyo/Marakwet,Keiyo North,Anaplasmosis,5
Elgeyo/Marakwet,Marakwet East,Foetal Mumification,1
Elgeyo/Marakwet,Keiyo North,Babesia Bovis,12
Elgeyo/Marakwet,Marakwet West,Haemorrhagic septicemia,200
Elgeyo/Marakwet,Marakwet West,Animal bites,27
Elgeyo/Marakwet,Marakwet West,Foot and Mouth Disease (FMD),8
Elgeyo/Marakwet,Keiyo South,Absess,3
Elgeyo/Marakwet,Marakwet West,Anaplasmosis,11
Elgeyo/Marakwet,Keiyo South,Fowl Pox,90
Elgeyo/Marakwet,Marakwet West,Cirrhosis,0
Elgeyo/Marakwet,Marakwet West,Brucellosis,13
Elgeyo/Marakwet,Marakwet West,Plant Poison,1
Elgeyo/Marakwet,Keiyo South,Heart Water,5
Elgeyo/Marakwet,Marakwet West,Animal Bite,5
Elgeyo/Marakwet,Marakwet East,Anaplasmosis,46
Elgeyo/Marakwet,Marakwet East,TVT,4
Garissa,Lagdera,Contagious Caprine Pleuropneumonia (CCPP),4449
Garissa,Balambala,Lumpy Skin Disease (LSD),6
Garissa,Balambala,East Coast Fever(ECF),66
Garissa,Balambala,Helminthiasis,0
Garissa,Lagdera,Iron Defficiency,9
Garissa,Fafi,Infectious Bursai Disease (Gumboro),431
Garissa,Fafi,Pneumonia,120
Garissa,Fafi,Contagious Caprine Pleuropneumonia (CCPP),449
Garissa,Garissa Township,Arthritis,19
Garissa,Ijara,East Coast Fever(ECF),2
Kajiado,Kajiado North,Rabies,3
Kajiado,Kajiado West,Lumpy Skin Disease (LSD),134
Kajiado,Kajiado Central,Helminthiasis,0
Kajiado,Kajiado Central,Brucellosis,472
Kakamega,Likuyani,Myocarditis,0
Marsabit,Moyale,Camel Pox,166
Turkana,Turkana East,Mange,179
Kakamega,Likuyani,Helminthiasis,34
Kakamega,Malava,Contagious Caprine Pleuropneumonia (CCPP),21
Kakamega,Malava,Brucellosis,87
Kakamega,Lugari,Goat Pox,1285
Kakamega,Ikolomani,Black Quarter,6
Kakamega,Likuyani,Contagious Caprine Pleuropneumonia (CCPP),142
Kakamega,Malava,Helminthiasis,42
Kakamega,Likuyani,Anthrax,5
Kakamega,Likuyani,East Coast Fever(ECF),19
Kakamega,Khwisero,Helminthiasis,0
Kakamega,Malava,Pink Eye,29
Kakamega,Malava,Anaplasmosis,22
Kakamega,Shinyalu,Brucellosis,5
Kakamega,Likuyani,Trypanosomiasis,137
Kakamega,Ikolomani,Lumpy Skin Disease (LSD),8
Kakamega,Malava,Trypanosomiasis,118
Kakamega,Likuyani,Pneumonia,21
Kakamega,Likuyani,Brucellosis,122
Kakamega,Butere,East Coast Fever(ECF),21
Kakamega,Mumias East,Trypanosomiasis,40
Elgeyo/Marakwet,Keiyo South,Brucellosis,23
Kakamega,Likuyani,Rabies,10
Kakamega,Butere,Rabies,2004
Kakamega,Malava,East Coast Fever(ECF),55
Kakamega,Malava,Foot And Rot,2
Kakamega,Malava,injury,60
Kakamega,Malava,Haemorrhagic septicemia,16
Kakamega,Likuyani,H.S,67
Kakamega,Mumias East,Dytocia,15
Kakamega,Mumias East,East Coast Fever(ECF),2
Kakamega,Malava,Injury,4
Kakamega,Lurambi,East Coast Fever(ECF),1
Kakamega,Lugari,Milk Fever,1
Kakamega,Malava,Black Quarter,12
Kakamega,Lugari,Rabies,11
Kakamega,Lugari,Pneumonia,8
Kakamega,Malava,Parasite Infestation,2
Kakamega,Likuyani,Anaplasmosis,5
Kakamega,Lugari,Abscess,25
Kakamega,Malava,Rabies,64
Marsabit,Moyale,caseous Lymphad,11
Marsabit,Moyale,Haemorrhagic septicemia,276
Kakamega,Malava,Pneumonia,52
Marsabit,Moyale,Heart Water,1962
Marsabit,Moyale,Pneumonia,8541
Marsabit,Moyale,Haemorrhagic Septicemia,19
Kakamega,Shinyalu,Pneumonia,14
Kakamega,Malava,Animal bites,12
Kakamega,Lugari,Helminthiasis,22
Kakamega,Ikolomani,Pneumonia,17
Kakamega,Lurambi,0,5
Kakamega,Malava,Clinical Mastits,5
