county,sub_county,Disease/ Condition,Number at Risk
Baringo,Mogotio,Anaplasmosis,2
Baringo,Baringo North,Foot and Mouth Disease (FMD),5
Baringo,Baringo North,Anaplasmosis,3
Marsabit,North Horr,Wound,10
Busia,Nambale,Pneumonia,1
Baringo,Baringo North,Helminthiasis,6
Baringo,Baringo Central,Coccidosis,2
Marsabit,North Horr,Fracture ,7
Baringo,Baringo Central,Helminthiasis,0
Makueni,Kibwezi East,Pneumonia,4
Baringo,Baringo North,Bees Sting,3
Baringo,Eldama Ravine,Foot and Mouth Disease (FMD),6
Baringo,Tiaty,Helminthiasis,0
Baringo,Tiaty,Black Quarter,6
Kiambu,Githunguri,Lumpy Skin Disease (LSD),3
Baringo,Baringo South,Calf Scours ,6
Marsabit,Moyale,Helminthiasis,21
Baringo,Baringo South,Helminthiasis,2
Marsabit,Moyale,Tetanus,5
Baringo,Baringo North,Anaplasmosis,23
Baringo,Eldama Ravine,Helminthiasis,5
Marsabit,Moyale,Helminthiasis,10
Marsabit,Moyale,Ephemeral fever,12
Laikipia,Laikipia West,Contagious Caprine Pleuropneumonia (CCPP),50
Marsabit,Moyale,Brucellosis,28
Marsabit,Moyale,Helminthiasis,15
Marsabit,Moyale,Trypanosomiasis,15
Baringo,Tiaty,East Coast Fever(ECF),5
Baringo,Eldama Ravine,Helminthiasis,0
Taita Taveta,Wundanyi,Foot Rot,2
Bomet,Bomet East,Helminthiasis,0
Bomet,Bomet East,ephemeral fever ,43
Marsabit,Moyale,Coccidosis,4
Bomet,Bomet East,Black Quarter,15
Bomet,Bomet East,Helminthiasis,5
Bomet,Bomet East,Poisoning,1
Bomet,Bomet East,Anaplasmosis,3
Bomet,Bomet East,Lumpy Skin Disease (LSD),1
Marsabit,Moyale,Poisoning,85
Bomet,Sotik,East Coast Fever(ECF),3
Marsabit,Moyale,Trypanosomiasis,48
Bomet,Bomet East,Pneumonia,3
Marsabit,Moyale,Caseous Lymphad,28
Bomet,Bomet East,East Coast Fever(ECF),3
Bomet,Bomet East,East Coast Fever(ECF),4
Marsabit,Moyale,orf,35
Vihiga,Emuhaya,Lumpy Skin Disease (LSD),1
Elgeyo/Marakwet,Keiyo North,East Coast Fever(ECF),5
Bomet,Bomet East,Mastitis,12
Marsabit,Moyale,Goat Pox,84
Bomet,Sotik,Helminthiasis,0
Marsabit,Moyale,Brucellosis,35
Bomet,Bomet East,Peste des Petit Ruminants (PPR),40
Marsabit,Moyale,Caseous Lymphad,14
Marsabit,Moyale,Brucellosis,12
Bomet,Bomet East,Animal bites,2
Bomet,Bomet East,Trypanosomiasis,32
Bomet,Bomet East,Poisoning,200
Bomet,Bomet East,Pneumonia,3
Bomet,Bomet East,Liver Cyrrhosis,0
Bomet,Bomet East,Hydited Cyst,0
Bomet,Bomet East,Brucellosis,8
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,mastitis ,3
Marsabit,Moyale,Helminthiasis,0
Bomet,Bomet East,Pneumonia,1
Bomet,Bomet East,Rabies,3
Bomet,Bomet East,Mange,1
Bomet,Bomet East,East Coast Fever(ECF),34
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,Brucellosis,67
Bomet,Bomet East,Fasciola,0
Bomet,Bomet Central,Helminthiasis,0
Bomet,Bomet Central,Helminthiasis,1
Marsabit,Moyale,Meningitis,25
Marsabit,Moyale,Helminthiasis,0
Marsabit,Moyale,Animal bites,1
Marsabit,Moyale,Brucellosis,34
Bomet,Bomet East,Coccidosis,90
Marsabit,Moyale,Brucellosis,24
Bomet,Chepalungu,Lumpy Skin Disease (LSD),15
Bomet,Bomet East,Helminthiasis,0
Bungoma,Mt. Elgon,East Coast Fever(ECF),3
Elgeyo/Marakwet,Keiyo South,Peste des Petit Ruminants (PPR),35
Bungoma,Mt. Elgon,Helminthiasis,6
Makueni,Kibwezi East,Contagious Caprine Pleuropneumonia (CCPP),15
Bungoma,Mt. Elgon,East Coast Fever(ECF),3
Bungoma,Mt. Elgon,Trypanosomiasis,1
Bungoma,Mt. Elgon,Helminthiasis,5
Bungoma,Mt. Elgon,Ketosis,2
Bungoma,Mt. Elgon,East Coast Fever(ECF),4
Marsabit,Moyale,Brucellosis,45
Bungoma,Mt. Elgon,Pneumonia,2
Bungoma,Mt. Elgon,Anaplasmosis,6
Bungoma,Mt. Elgon,Heart Water,0
Bungoma,Mt. Elgon,Post Parturient Condition ,1
Bungoma,Mt. Elgon,Helminthiasis,6
Bungoma,Mt. Elgon,Brucellosis,2
Bungoma,Mt. Elgon,Animal bites,42
Bungoma,Mt. Elgon,Pneumonia,3
Bungoma,Mt. Elgon,Animal bites,53
Bungoma,Bumula,Rabies,100
Marsabit,Moyale,Meningitis ,25
Bungoma,Bumula,Dystocia,1
Bungoma,Mt. Elgon,East Coast Fever(ECF),3
Marsabit,Moyale,Black Quarter,217
Bungoma,Mt. Elgon,Brucellosis,20
Bungoma,Mt. Elgon,Colic,1
Bungoma,Mt. Elgon,Trypanosomiasis,3
Bungoma,Mt. Elgon,Mange,14
Bungoma,Mt. Elgon,Coeneurosis,5
Bungoma,Mt. Elgon,Foot and Mouth Disease (FMD),5
Bungoma,Mt. Elgon,Laminitis,6
Bungoma,Mt. Elgon,Brucellosis,44
Bungoma,Mt. Elgon,Brucellosis,1
Bungoma,Mt. Elgon,Animal bites,21
Bungoma,Mt. Elgon,Lumpy Skin Disease (LSD),0
Bungoma,Mt. Elgon,Helminthiasis,6
Bungoma,Webuye West,Acute Camel Disease Syndromes (ACDS),52
Bungoma,Mt. Elgon,Trypanosomiasis,0
Bungoma,Kimilili,Anaplasmosis,1
Busia,Butula,Helminthiasis,0
Busia,Nambale,Helminthiasis,3
Busia,Teso South,Brucellosis,1
Narok,Narok South,footrot,74
Busia,Matayos,Pneumonia,28
Busia,Teso South,Helminthiasis,0
Busia,Teso South,Foot Rot,5
Busia,Nambale,Black Quarter,2
